"train/global_step","Qwen1.5B-SFT-Finetune-20250529_142602 - _step","Qwen1.5B-SFT-Finetune-20250529_142602 - _step__MIN","Qwen1.5B-SFT-Finetune-20250529_142602 - _step__MAX","Qwen1.5B-SFT-Finetune-20250529_142602 - train/mean_token_accuracy","Qwen1.5B-SFT-Finetune-20250529_142602 - train/mean_token_accuracy__MIN","Qwen1.5B-SFT-Finetune-20250529_142602 - train/mean_token_accuracy__MAX","Qwen1.5B-SFT-Finetune-20250527_104203 - _step","Qwen1.5B-SFT-Finetune-20250527_104203 - _step__MIN","Qwen1.5B-SFT-Finetune-20250527_104203 - _step__MAX","Qwen1.5B-SFT-Finetune-20250527_104203 - train/mean_token_accuracy","Qwen1.5B-SFT-Finetune-20250527_104203 - train/mean_token_accuracy__MIN","Qwen1.5B-SFT-Finetune-20250527_104203 - train/mean_token_accuracy__MAX"
"1","","","","","","","0","0","0","0.7256369441747665","0.7256369441747665","0.7256369441747665"
"2","1","1","1","0.8358397483825684","0.8358397483825684","0.8358397483825684","1","1","1","0.7177169919013977","0.7177169919013977","0.7177169919013977"
"3","2","2","2","0.8330802172422409","0.8330802172422409","0.8330802172422409","2","2","2","0.7263788729906082","0.7263788729906082","0.7263788729906082"
"4","3","3","3","0.8367434144020081","0.8367434144020081","0.8367434144020081","3","3","3","0.7271362096071243","0.7271362096071243","0.7271362096071243"
"5","4","4","4","0.8420512974262238","0.8420512974262238","0.8420512974262238","4","4","4","0.7241215705871582","0.7241215705871582","0.7241215705871582"
"6","5","5","5","0.8396479785442352","0.8396479785442352","0.8396479785442352","5","5","5","0.7237808108329773","0.7237808108329773","0.7237808108329773"
"7","6","6","6","0.8363583534955978","0.8363583534955978","0.8363583534955978","6","6","6","0.7248831987380981","0.7248831987380981","0.7248831987380981"
"8","7","7","7","0.8423621654510498","0.8423621654510498","0.8423621654510498","7","7","7","0.7184668630361557","0.7184668630361557","0.7184668630361557"
"9","8","8","8","0.8335335999727249","0.8335335999727249","0.8335335999727249","8","8","8","0.7159035205841064","0.7159035205841064","0.7159035205841064"
"10","9","9","9","0.8265793323516846","0.8265793323516846","0.8265793323516846","9","9","9","0.7247184067964554","0.7247184067964554","0.7247184067964554"
"11","10","10","10","0.8379346281290054","0.8379346281290054","0.8379346281290054","10","10","10","0.7182908803224564","0.7182908803224564","0.7182908803224564"
"12","11","11","11","0.8399853110313416","0.8399853110313416","0.8399853110313416","11","11","11","0.7314214110374451","0.7314214110374451","0.7314214110374451"
"13","12","12","12","0.8365231454372406","0.8365231454372406","0.8365231454372406","12","12","12","0.7262134402990341","0.7262134402990341","0.7262134402990341"
"14","","","","","","","13","13","13","0.7212445735931396","0.7212445735931396","0.7212445735931396"
"15","14","14","14","0.8424032777547836","0.8424032777547836","0.8424032777547836","14","14","14","0.7304113507270813","0.7304113507270813","0.7304113507270813"
"16","15","15","15","0.8235798329114914","0.8235798329114914","0.8235798329114914","15","15","15","0.7296778559684753","0.7296778559684753","0.7296778559684753"
"17","16","16","16","0.8474687784910202","0.8474687784910202","0.8474687784910202","16","16","16","0.7228216379880905","0.7228216379880905","0.7228216379880905"
"18","17","17","17","0.8409035205841064","0.8409035205841064","0.8409035205841064","17","17","17","0.7284448444843292","0.7284448444843292","0.7284448444843292"
"19","18","18","18","0.8416008949279785","0.8416008949279785","0.8416008949279785","18","18","18","0.7292372286319733","0.7292372286319733","0.7292372286319733"
"20","","","","","","","19","19","19","0.7309576570987701","0.7309576570987701","0.7309576570987701"
"21","20","20","20","0.8372918665409088","0.8372918665409088","0.8372918665409088","20","20","20","0.7234446406364441","0.7234446406364441","0.7234446406364441"
"22","","","","","","","21","21","21","0.7280490547418594","0.7280490547418594","0.7280490547418594"
"23","22","22","22","0.832746833562851","0.832746833562851","0.832746833562851","22","22","22","0.7273825854063034","0.7273825854063034","0.7273825854063034"
"24","23","23","23","0.8376897722482681","0.8376897722482681","0.8376897722482681","23","23","23","0.7258503437042236","0.7258503437042236","0.7258503437042236"
"25","24","24","24","0.8332976251840591","0.8332976251840591","0.8332976251840591","24","24","24","0.7239965498447418","0.7239965498447418","0.7239965498447418"
"26","25","25","25","0.8375786989927292","0.8375786989927292","0.8375786989927292","25","25","25","0.7237660139799118","0.7237660139799118","0.7237660139799118"
"27","26","26","26","0.8453721851110458","0.8453721851110458","0.8453721851110458","26","26","26","0.7342653423547745","0.7342653423547745","0.7342653423547745"
"28","27","27","27","0.8457378149032593","0.8457378149032593","0.8457378149032593","27","27","27","0.7371248304843903","0.7371248304843903","0.7371248304843903"
