"train/global_step","Qwen1.5B-SFT-Finetune-20250529_142602 - _step","Qwen1.5B-SFT-Finetune-20250529_142602 - _step__MIN","Qwen1.5B-SFT-Finetune-20250529_142602 - _step__MAX","Qwen1.5B-SFT-Finetune-20250529_142602 - train/loss","Qwen1.5B-SFT-Finetune-20250529_142602 - train/loss__MIN","Qwen1.5B-SFT-Finetune-20250529_142602 - train/loss__MAX","Qwen1.5B-SFT-Finetune-20250527_104203 - _step","Qwen1.5B-SFT-Finetune-20250527_104203 - _step__MIN","Qwen1.5B-SFT-Finetune-20250527_104203 - _step__MAX","Qwen1.5B-SFT-Finetune-20250527_104203 - train/loss","Qwen1.5B-SFT-Finetune-20250527_104203 - train/loss__MIN","Qwen1.5B-SFT-Finetune-20250527_104203 - train/loss__MAX"
"1","","","","","","","0","0","0","1.1072","1.1072","1.1072"
"2","1","1","1","0.5084","0.5084","0.5084","1","1","1","1.1385","1.1385","1.1385"
"3","2","2","2","0.5189","0.5189","0.5189","2","2","2","1.1014","1.1014","1.1014"
"4","3","3","3","0.506","0.506","0.506","3","3","3","1.0977","1.0977","1.0977"
"5","4","4","4","0.4877","0.4877","0.4877","4","4","4","1.1092","1.1092","1.1092"
"6","5","5","5","0.4985","0.4985","0.4985","5","5","5","1.1093","1.1093","1.1093"
"7","6","6","6","0.51","0.51","0.51","6","6","6","1.1131","1.1131","1.1131"
"8","7","7","7","0.4815","0.4815","0.4815","7","7","7","1.1285","1.1285","1.1285"
"9","8","8","8","0.5195","0.5195","0.5195","8","8","8","1.1413","1.1413","1.1413"
"10","9","9","9","0.5417","0.5417","0.5417","9","9","9","1.1078","1.1078","1.1078"
"11","10","10","10","0.502","0.502","0.502","10","10","10","1.1229","1.1229","1.1229"
"12","11","11","11","0.4932","0.4932","0.4932","11","11","11","1.0831","1.0831","1.0831"
"13","12","12","12","0.5024","0.5024","0.5024","12","12","12","1.1043","1.1043","1.1043"
"14","","","","","","","13","13","13","1.1201","1.1201","1.1201"
"15","14","14","14","0.483","0.483","0.483","14","14","14","1.0901","1.0901","1.0901"
"16","15","15","15","0.5517","0.5517","0.5517","15","15","15","1.0865","1.0865","1.0865"
"17","16","16","16","0.4721","0.4721","0.4721","16","16","16","1.1139","1.1139","1.1139"
"18","17","17","17","0.4921","0.4921","0.4921","17","17","17","1.0922","1.0922","1.0922"
"19","18","18","18","0.4867","0.4867","0.4867","18","18","18","1.09","1.09","1.09"
"20","","","","","","","19","19","19","1.0751","1.0751","1.0751"
"21","20","20","20","0.4994","0.4994","0.4994","20","20","20","1.1124","1.1124","1.1124"
"22","","","","","","","21","21","21","1.0905","1.0905","1.0905"
"23","22","22","22","0.5175","0.5175","0.5175","22","22","22","1.0827","1.0827","1.0827"
"24","23","23","23","0.4985","0.4985","0.4985","23","23","23","1.099","1.099","1.099"
"25","24","24","24","0.5108","0.5108","0.5108","24","24","24","1.0964","1.0964","1.0964"
"26","25","25","25","0.497","0.497","0.497","25","25","25","1.093","1.093","1.093"
"27","26","26","26","0.476","0.476","0.476","26","26","26","1.0531","1.0531","1.0531"
"28","27","27","27","0.4674","0.4674","0.4674","27","27","27","1.038","1.038","1.038"
"29","28","28","28","0.5467","0.5467","0.5467","28","28","28","1.0732","1.0732","1.0732"
"30","29","29","29","0.517","0.517","0.517","29","29","29","1.1111","1.1111","1.1111"
"31","30","30","30","0.5089","0.5089","0.5089","30","30","30","1.0722","1.0722","1.0722"
"32","","","","","","","31","31","31","1.0878","1.0878","1.0878"
"33","32","32","32","0.5132","0.5132","0.5132","32","32","32","1.0769","1.0769","1.0769"
"34","33","33","33","0.4647","0.4647","0.4647","33","33","33","1.0612","1.0612","1.0612"
"35","","","","","","","34","34","34","1.0178","1.0178","1.0178"
"36","","","","","","","35","35","35","1.0297","1.0297","1.0297"
"37","36","36","36","0.4832","0.4832","0.4832","36","36","36","1.052","1.052","1.052"
"38","","","","","","","37","37","37","1.0259","1.0259","1.0259"
"39","","","","","","","38","38","38","1.0162","1.0162","1.0162"
"40","39","39","39","0.4859","0.4859","0.4859","39","39","39","1.0249","1.0249","1.0249"
